ASL-LEX_add_translation
ASL-LEX_add_translation,,,
Entry,Gloss,Definition,Comment
L_head,head,"body part, head",
L_head_back,head_back,"head, head-back, head tilts back, impressed, surprised",
L_head_grind,head_grind,head_grind,
L_headache,headache,"headache, migraine, pain, hurt, ache",
L_headcold,headcold,"cold, common cold, head cold, sick, tissue",
L_headphones,headphones,"earphones, headphones",
L_health,health,"confidence, confident, health, healthy, recover, strong",
L_heap,heap,"heap, mound, pile, pile of stuff",
L_hear_1,hear,hear,
L_hear_2,hear,hear,
L_hearing,hearing,"hearing, public",
L_hearing_aid,hearing_aid,hearing aid,
L_heart,heart,"heart, heart shape, valentine",
L_heart_touch,heart_touch,"affected, moved, sincere, sympathetic, touched, touch-heart, touching",
L_heartbody,heartbody,"heart, heart body",
L_heaven,heaven,"heaven, the sky above",
L_heavy,heavy,"heavy, not light, weight",
L_helicopter,helicopter,helicopter,
L_helicopter_2,helicopter,helicopter,
L_hell,hell,hell,
L_hello,hello,"greeting, hello, hey, hi",
L_helmet,helmet,helmet,
L_helmet_2,helmet,helmet,
L_help,help,"assist, assistance, help, HELPpa",
L_hen,hen,hen,
L_here,here,here,
L_hide,hide,"conceal, concealed, hid, hide, hidden",
L_high,high,high,
L_high_heels,high_heels,high_heels,
L_high_school,high_school,high_school,
L_highlighter,highlighter,highlighter,
L_hinge,hinge,hinge,
L_hippo,hippo,"animal, hippo, hippopotamus",
L_hippo_2,hippo,hippo,
L_his,his,his,
L_history,history,"historic, historical, history",
L_hit_1,hit,hit,
L_hit_2,hit,hit,
L_hitchhike,hitchhike,hitchhike,
L_hockey,hockey,"hockey, sports",
L_hoe,hoe,hoe,
L_hold,hold,hold,
L_hold_2,hold,"clutch, hold, hold on to, retain, save, grasp, carry, or support with one's arms or hands; remain secure, intact, or in position without breaking or giving way",ref_handspeak
L_hold_accountable,hold_accountable,hold_accountable,
L_hold_hands,hold_hands,"clasp, handshake, hold hands, shake, shake hands",
L_hold_together,hold_together,hold_together,
L_holiday,holiday,"celebration, holiday, vacation",
L_holy,holy,holy,
L_home,home,home,
L_homework,homework,"assignment, homework",
L_honest,honest,"honest, honestly, honesty, true, truth",
L_honey_1,honey,"honey, HONEYmo",
L_honey_2,honey,"honey, honey-nectar, HONEYx",
L_hongkong,hongkong,"Hong Kong, HONG-KONG",
L_honk,honk,"beep, car horn, honk, horn",
L_honor,honor,"honor, respect",
L_hood,hood,"clothes, clothing, hood, hoodie, sweatshirt",
L_hoodie_1,hoodie,hoodie,
L_hoodie_2,hoodie,hoodie,
L_hop,hop,hop,
L_hope,hope,"expect, expectation, hope",
L_horrible,horrible,"awful, horrible, terrible",
L_horse,horse,"animal, equine, horse, pony",
L_hose,hose,hose,
L_hospital,hospital,"clinic, hospital",
L_hospital_2,hospital,"clinic, hospital, hospital head",
L_hot,hot,"heat, hot, temperature",
L_hot_competition,hot_competition,hot_competition,
L_hotdog,hotdog,"food, hotdog, sausage",
L_hotel,hotel,"hotel, inn, motel",
L_hour,hour,"clock, hour, HOURneut, time",
L_house,house,"house, shelter",
L_how,how,"how, manner, type",
L_how_2,how,"how, In what way or manner, by what means, used to ask about the condition or quality of something",ref_handspeak
L_howl,howl,"cry out, shout, scream, yell",
L_hug,hug,"cling to, cuddle, embrace, hold tight, hug, squeeze",
L_humble,humble,"humble, humility, quiet",
L_hummingbird,hummingbird,hummingbird,
L_humor,humor,"comedy, comical, humor",
L_hundred,hundred,"100, hundred, number, one hundred",
L_hungry,hungry,"desire, famished, hunger, hungry, passion, passionate, starving, want, wish",
L_hunt,hunt,"gun, hunt, rifle, HUNTu",
L_hurdle_1,hurdle,hurdle,
L_hurdle_2,hurdle,hurdle,
L_hurricane,hurricane,"hurricane, storm",
L_hurry,hurry,"hurry, hurry up, in a hurry, in a rush, rush, urgent",
L_hurt,hurt,"ache, hurt, injure, injury, pain",
L_husband,husband,husband,
L_hypocrite,hypocrite,hypocrite,
L_I_love_you,I_love_you,"I love you, ILY, love",
L_ice,ice,ice,
L_icecream,icecream,"eat ice cream, ice cream",
L_idea,idea,"concept, idea, imagine, notion, suppose",
L_identity,identity,"identification, identify, identity, recognize",
L_if,if,"if, hypothetical, imagine, suppose, what if, IFi",
L_ignore,ignore,"disregard, ignore, neglect",
L_imagine,imagine,"imagination, imagine, to come up with ideas, to create, to have ideas",
L_imagine_2,imagine,"imagine, VISUALIZE, envision, evoke, ideal, imagination, imagine, think of, vision, visualization, visualize",ref_signbank
L_immature,immature,"childish, immature, inexperienced, infantile, juvenile, unsophisticated",
L_immerse,immerse,immerse,
L_impact,impact,"beat, coincidence, effect, hit, impact, punch, strike, thrash, to have an impact on",
L_important,important,"critical, crucial, importance, important, relevant, significant, vital, worth, worthy",
L_impossible,impossible,"can't be done, impossible, not possible",
L_impress,impress,"emphasis, emphasize, impress, impressed, impression, make a point, marked, stress",
L_improve,improve,"improve, improvement, progress",
L_in,in,in,
L_inch,inch,"inch, measure, measurement",
L_incredible,incredible,"amazing, awesome, far-out, incredible, wonderful",
L_independent,independent,"independence, independent",
L_indian,indian,"India, Indian",
L_inept,inept,"inept, lousy, not good, skilled, terrible, unskilled, unqualified",
L_infection,infection,"infect, infection, insurance",
L_influence,influence,"advice, advise, affect, counsel, counseling, effect, influence",
L_inhale,inhale,"breathe in, inhale, puff, whiff",
L_inject,inject,"drug, drugs, inject, injection, IV, medicine, needle, shoot up, shot",
L_innocent,innocent,innocent,
L_inside,inside,"inside, put in, put inside, to save up",
L_inspire,inspire,"inspiration, inspire, inspired",
L_inspiring,inspiring,inspiring,
L_instagram,instagram,"Instagram, photo-sharing app, social media service, video-sharing app, ",
L_instead,instead,"change, exchange, instead, replace, switch, trade",
L_institute,institute,"campus, deaf school, institute, institution",
L_insult,insult,"insult, offend, offense",
L_insurance,insurance,"infection, insure, insurance, insurance policy",
L_intelligent,intelligent,"bright, clever, good idea, intelligence, intelligent, smart",
L_intentional,intentional,intentional,
L_interest,interest,"interest, interesting, interest in, like",
L_interested,interested,"fascinating, interest, interesting, interest in, interested in",
L_internet,internet,"computer, internet, network, wifi, world wide web",
L_interpret,interpret,"interpret, translate",
L_interpreter,interpreter,"interpreter, translator",
L_intervene,intervene,"annoy, bother, interrupt, interruption, intervene, intervention",
L_interview,interview,interview,
L_introduce,introduce,"introduce, introduction, present",
L_intuitive,intuitive,intuitive,
L_invest,invest,"donate, invest, investment, support",
L_invisible,invisible,invisible,
L_invite,invite,"invitation, invite, welcome, hire",
L_iphone,iphone,iphone,
L_iron,iron,iron,
L_iron_2,iron,iron,
L_iron_3,iron,iron,
L_island,island,"island, interest (finance)",
L_isolated,isolated,isolated,
L_israel,israel,israel,
L_italy,italy,"country, Italian, Italy",
L_itch,itch,"itch, itchy, scratch",
L_jacket,jacket,"coat, jacket, JACKETa, raincoat",
L_jacket_2,jacket,"coat, jacket, JACKETa, raincoat",
L_jacket_3,jacket,"coat, jacket, pullover",
L_jacket_4,jacket,jacket,
L_japan,japan,"country, Japan, Japanese, JAPANrep",
L_jar,jar,jar,
L_jaw_drop,jaw_drop,"awe, jaw-drop, shocked, surprised",
L_jealous,jealous,"envy, jealous, jealousy",
L_jelly,jelly,"food, jam, jelly",
L_jellyfish,jellyfish,jellyfish,
L_jewelry,jewelry,"jewelry, necklace",
L_jewish,jewish,"Hebrew, Jew, Jewish",
L_jigsaw_puzzle,jigsaw_puzzle,"game, press down, put on, put together, puzzle, puzzle piece, sticker, ",
L_join,join,"join, participate",
L_joke,joke,"joshing, joke, kidding, tease, teasing, make fun of, making fun of, warm",
L_journey,journey,"adventure, journey, move, tourist, transfer, travel, trip",
L_judge,judge,"if, judge, justice, justify, court",
L_juggle,juggle,"balls, juggle, juggling, throw",
L_juggler,juggler,"balls, juggle, juggling, throw",
L_juice_1,juice,"beverage, drink, joint, juice, JUICEneut",
L_juice_2,juice,juice,
L_jump,jump,"hop, jump, leap",
L_jump_rope,jump_rope,"jump rope, jump-rope",
L_junior,junior,"class, grade, high school, junior, level, school",
L_kangaroo,kangaroo,"animal, kangaroo",
L_kangaroo_2,kangaroo,kangaroo,
L_kangaroo_3,kangaroo,kangaroo,
L_keep,keep,"keep, maintain, save",
L_key,key,"key, lock, turn, twist",
L_keyboard,keyboard,"computer, keyboard, type, typing, typist, typewriter, type out",
L_kick_1,kick,"kick, punt",
L_kick_2,kick,kick,
L_kid,kid,"child, childish, kid",
L_kill,kill,"kill, murder, slay",
L_kindergarten,kindergarten,"grade, kindergarten, school",
L_king,king,"king, royalty",
L_kiss,kiss,"kiss, KISSck",
L_kiss_2,kiss,"kiss, kiss mouth, KISS-MOUTHmo",
L_kiss_3,kiss,"kiss, smooch",
L_kiss_fist,kiss_fist,"adore, favorite, kissfist, kiss-fist, like, love",
L_kiss_on_cheek,kiss_on_cheek,"kiss, kiss on cheek",
L_kitchen,kitchen,kitchen,
L_kite,kite,kite,
L_kite_2,kite,kite,
L_kitten,kitten,"animal, baby cat, kitten, kitty, kitty cat",
L_kneel,kneel,"bended knees, kneel, knees",
L_knife,knife,"cut, knife, KNIFEix",
L_knife_2,knife,knife,
L_knight_1,knight,knight,
L_knight_2,knight,knight,
L_knight_3,knight,knight,
L_knight_5,knight,knight,
L_knitting,knitting,knitting,
L_knitting_2,knitting,knitting,
L_knitting_3,knitting,knitting,
L_knock,knock,knock,
L_knock_off,knock_off,"eliminate, ignore, knock off, remove, take off",
L_know,know,"acknowledge, aware, conscious, know, KNOWb, knowledge",
L_know_nothing,know_nothing,"clueless, don't know, ignorance, ignorant, know-nothing, nothing",
L_label,label,"label, stereotype, tag",
L_lamp,lamp,"lamp, light",
L_lamp_2,lamp,lamp,
L_land,land,land,
L_language,language,"language, LANGUAGEl",
L_laptop,laptop,"computer, laptop",
L_last,last,"end, final, last",
L_last_week,last_week,"before, last week, time",
L_late,late,"late, tardy, time",
L_later,later,"later, later in time",
L_laugh,laugh,"chuckle, funny, humor, humorous, laugh",
L_law,law,"attorney, in-law, law, legal",
L_lawnmower,lawnmower,"cart, carriage, lawnmower, pushcart, stroller",
L_lawyer,lawyer,"court, law, lawyer, justice",
L_lay_down,lay_down,"lay, lay down, lie, lie down, rest, supine",
L_lazy,lazy,lazy,
L_lead,lead,"lead, guide",
L_leaf,leaf,"leaf, leaf shape",
L_leaf_2,leaf,"leaf, feather",
L_leak,leak,"drain, leak, leaking, liquid, running, spill out",
L_learn,learn,learn,
L_learn_lesson,learn_lesson,learn_lesson,
L_leather,leather,leather,
L_leave,leave,leave,
L_leave_alone,leave_alone,"abandon, leave alone, leave it, left, leftover, remaining",
L_lecture,lecture,"address, lecture, presentation, speech, talk",
L_left,left,"direction, left, lefty, left-handed, turn left",
L_lemon,lemon,"fruit, lemon",
L_lemon_2,lemon,"fruit, lemon",
L_lend,lend,"borrow, give, lend, loan",
L_lesbian,lesbian,lesbian,
L_less,less,less,
L_lesson,lesson,"chapter, course, lesson, teach",
L_let_go,let_go,let_go,
L_let_know,let_know,"inform, information, let know, share news with, obey",
L_let_me_see,let_me_see,"check it out, eventually, let's see, look, maybe, perhaps, perchance, see, see-see, wait and see, we'll see",
L_letter,letter,"letter, mail, stamp",
L_lettuce,lettuce,"lettuce, vegetable, garbage, trash",
L_library,library,library,
L_license,license,"card, driver license, ID, license",
L_lick_1,lick,lick,
L_lick_2,lick,"eat, lap up, lick, taste",
L_lick_envelope,lick_envelope,lick_envelope,
L_lick_envelope_2,lick_envelope,lick_envelope,
L_lie,lie,"false, fib, lie, lying, untruth",
L_lift_1,lift,"lift, pick up, raise or move something upward",more common
L_lift_2,lift,lift,
L_light_2,light,"light, lamp",
L_light_candle,light_candle,light_candle,
L_light_weight,light_weight,"light, lightweight, lightly-colored, not heavy",
L_lighter,lighter,"cigarette lighter, lighter",
L_lightning,lightning,"lightening (sic), lightning, thunder",
L_lights_on,lights_on,lights_on,
L_like,like,"like, enjoy or approve of something or someone, to find agreeable, enjoyable, or satisfactory","ref_handspeak, no signs for like as alike, similar"
L_limited,limited,"constraint, delimit, limit, limitation, restrict, restriction, up to",
L_line,line,"boundary, line, string, wire",
L_linguistics,linguistics,"linguistics, science, study of language",
L_lion,lion,"animal, lion, mane",
L_lipread,lipread,"lipread, lipreading, lips, mouth, oral, speak, speech, speechreading, speech read",
L_lips,lips,lips,
L_lipstick,lipstick,"chapstick, lipstick, to put on lipstick",
L_list,list,"list, listing, list out",
L_listen,listen,listen,
L_live_1,live,"life, live, living, alive",
L_live_2,live,"address, alive, habitat, life, live, lives, reside, resident, survive",ref_signbank
L_living_room,living_room,living_room,
L_load,load,load,
L_load_2,load,load,
L_lobster,lobster,"animal, crab, crustacean, grab, lobster, pincher",
L_lobster_2,lobster,lobster,
L_lobster_3,lobster,lobster,
L_lock,lock,"lock, locked",
L_lock_2,lock,"lock, key, lock, turn, twist",ref_signbank
L_lock_3,lock,lock,
L_locker,locker,locker,
L_lollipop,lollipop,"candy, lollipop, sucker, LOLLIPOPstr",
L_lonely,lonely,"all alone, alone, lonely, lonesome",
L_long,long,"how long, length, long, time",
L_long_ago,long_ago,"former, in the past, long ago, previously, used to, years ago",
L_long_line,long_line,"line, line of people, to line up, queue",
L_long_time,long_time,"dragged out, drawn out, long time, slowpoke, to take forever",
L_long_word,long_word,"long, long name, long text, long word",
L_look_appearance,look_appearance,"appear, appearance, face, look, looks, seem, look-face",
L_look_at,look_at,"look, look at, see, to watch, view, watching",
L_look_back,look_back,"look, look back, memory, recall, remember, reminisce",
L_look_for,look_for,"look for, explore, search, seek out",
L_look_forward,look_forward,"anticipate, anticipation, look forward (to), wait, watch",
L_look_like,look_like,"look like, look similar, look the same, looks identical to, resemble",
L_lose,lose,"lose, lose game, loss",
L_lose_game,lose_game,"lose, lose game, loss",
L_lost,lost,"drop, lose, lost",
L_loud,loud,"loud, loudness, noise, sound, thunder, vibrant",
L_lousy,lousy,"awful, bad, lousy",
L_love,love,"hug, love",
L_loyal,loyal,"loyal, loyalty",
L_luck,luck,"fortunate, luck, lucky",
L_lucky,lucky,"fortunate, fortune, good luck, luck, luckily, lucky",
L_lunch_1,lunch,"eat, food, lunch, meal, mealtime",
L_lunch_2,lunch,"eat, eat noon, food, lunch, meal, mealtime",
L_lungs,lungs,lungs,
L_machine,machine,"factory, engine, machine, mechanical, motor",
L_mad,mad,"anger, angry, enraged, furious, infuriated, mad",
L_magazine,magazine,"article, catalog, journal, magazine",
L_magic,magic,magic,
L_magnet,magnet,"adhesive, magnet, magnetic, stick, sticky, stick together, stuck",
L_magnet_2,magnet,magnet,
L_magnet_3,magnet,magnet,
L_magnet_4,magnet,magnet,
L_magnify_1,magnify,magnify,
L_magnify_2,magnify,magnify,
L_maid,maid,maid,
L_mail,mail,"letter, mail, stamp",
L_mail_2,mail,"deliver, dispatch, forward, send, to mail",
L_mailman,mailman,mailman,
L_mainstream,mainstream,"assimilate, blend, blend in, combine, consolidate, integrate, mainstream, mainstream education, merge",
L_major,major,"field, main, major, primary, specialty",
L_make,make,"create, make, MAKEstr, manufacture, produce",
L_make_believe,make_believe,"creative, fake, imaginary, invent, made up, make believe, make up, not real, pretend",
L_man,man,"gentleman, male, man, masculine",
L_manage,manage,"administrate, administrator, control, deal with, handle, manage, manipulate, take care of",
L_many,many,"a lot, how much, many, multiple, numerous, quantity, volume",
L_maple,maple,"breakfast, maple, maple syrup, pancakes, stick, sticky, syrup, waffles",
L_march,march,"march, parade, procession",
L_marionette,marionette,"marionette, puppet, string along",
L_marry,marry,"marriage, married, marry",
L_mascara,mascara,"eye makeup, mascara",
L_massage,massage,massage,
L_match,match,"compatible, correspond, fit, go with, match",
L_math,math,"arithmetic, math, mathematics",
L_maybe,maybe,"maybe, might, perhaps, possible, probably",
L_mcdonalds_2,mcdonalds,"McDonald's, Mcdonalds",
L_me,me,me,
L_mea_culpa,mea_culpa,mea_culpa,
L_mean_1,mean,"cruel, mean, not nice",
L_mean_2,mean,"define, definition, denotation, implication, intent, mean, meaning, purpose, significance",
L_measure,measure,"inch, measure, measurement, size",
L_measure_2,measure,"inch, measure, measurement, size",
L_meat,meat,meat,
L_meat_2,meat,"content, food, meat, steak",
L_mechanic_1,mechanic,"mechanic, MECHANICvb",
L_mechanic_2,mechanic,"fix, mechanic, plumbing, tool, wrench",
L_medicine,medicine,"medical, medicine, pill, poison",
L_meditate_1,meditate,meditate,
L_meditate_2,meditate,meditate,
L_meditate_3,meditate,meditate,
L_meet,meet,"approach, meet, met",
L_meeting,meeting,"confer, conference, meeting",
L_megaphone,megaphone,megaphone,
L_melon,melon,"melon, pumpkin",
L_melt,melt,melt,
L_member,member,"member, membership",
L_memorize,memorize,"memorization, memorize, memory, recall, remember",
L_memorize_memorize,memorize_memorize,memorize_memorize,
L_mention,mention,"allude to, mention, MENTIONix, name, to name, refer to, say, state, touch upon",
L_mess,mess,"chaos, chaotic, disrupt, hectic, mess, messed up, mess up, messy, thrown off",
L_metal,metal,"metal, metallic, steel",
L_metaphor,metaphor,metaphor,
L_mexican_1,mexican,"country, Mexican, Mexico",
L_mexican_2,mexican,"country, Mexican, Mexico",
L_microphone,microphone,microphone,
L_microscope,microscope,"lens, microscrope, telescope, MICROSCOPEwig",
L_microscope_2,microscope,"microscope, telescope, MICROSCOPEflex",
L_microscope_3,microscope,"microscope, telescope, MICROSCOPEflex",
L_microwave,microwave,"appliance, microwave",
L_middle,middle,"center, central, median, middle",
L_milk,milk,"dairy, milk, MILKasym",
L_milk_2,milk,milk,
L_mime,mime,mime,
L_mind,mind,mind,
L_mind_turned,mind_turned,"bewildered, confused, lost, mind-turned, misunderstand, thrown",
L_mine,mine,"archeology, dig, dig up, excavate, extract, mine, remove",
L_minimum,minimum,"at least, minimal, minimum",
L_minute,minute,"minute, moment, one minute, time unit",
L_mirror,mirror,"mirror, reflection",
L_mischievous,mischievous,"cause trouble, devilish, evil, impish, mischief, mischievous, playful, wicked",
L_miss,miss,"disappointed, miss, pine for, yearn for",
L_missing,missing,"depleted, empty, gone, missing, pass away, used up",
L_misunderstand,misunderstand,"misunderstand, misunderstanding, change mind",
L_mix_1,mix,"combine, mix, scramble",more common
L_mix_2,mix,mix,
L_mix_3,mix,mix,
L_mock,mock,"make fun of, mock, ridicule, taunt, tease, torment",
L_model_1,model,"fashion model, model",
L_model_2,model,"demonstrate, example, model, model type, show",
L_monday,monday,"day, day of the week, Monday",
L_money,money,"currency, finance, financial, money",
L_money_2,money,"cash, dollar, how much?, money",
L_monkey,monkey,"animal, chimpanzee, gorilla, monkey, orangutan",
L_monster,monster,"haunted, horror, monster, scary",
L_month,month,"month, monthly, one month",
L_moon,moon,moon,
L_moose,moose,moose,
L_mop,mop,"broom, clean, mop, sweep, wipe",
L_mop_2,mop,mop,
L_more,more,more,
L_morning,morning,"AM, morning, time",
L_mosquito,mosquito,"bug, insect, mosquito, mosquito hand",
L_most,most,"almost all, greatest, most, nearly all",
L_mother,mother,"mama, maternal, mom, mommy, mother",
L_motivation_1,motivation,motivation,
L_motivation_2,motivation,motivation,
L_motorcycle,motorcycle,motorcycle,
L_mountain,mountain,mountain,
L_mountain_2,mountain,mountain,
L_mouse,mouse,"animal, creature, mice, mouse",
L_mouth,mouth,"body part, lips, mouth",
L_move,move,"install, move, put, put away, put over there, relocate",
L_move_down,move_down,move_down,
L_movie,movie,"film, movie, video",
L_movies,movies,"film, movie, video",
L_much,much,"a bunch, how many, how much, a lot, lot, many, much, quantity, too much",
L_mummy,mummy,mummy,
L_murder ,murder ,"kill, murder, slay",
L_muscle,muscle,muscle,
L_museum,museum,museum,
L_mushroom,mushroom,mushroom,
L_music,music,"music, poetry, song",
L_must,must,"have to, imperative, must, need, need to, should",
L_mustache,mustache,"facial hair, moustache, mustache",
L_my,my,my,
L_myself,myself,myself,
L_nail,nail,"hammer, nail, tool",
L_nail_clipper,nail_clipper,"nail clippers, cut nails",
L_naked,naked,"bare, blank, empty, naked, nude",
L_name,name,"name, be called, call, mention, named, to name, TITLE",
L_napkin,napkin,"napkin, NAPKINrub, wash, wipe",
L_navel,navel,navel,
L_navy,navy,"military, navy",
L_near,near,"adjacent, bordering, close to, near, nearby, neighboring, next to",
L_neck,neck,neck,
L_necklace,necklace,"jewelry, necklace",
L_necklace_2,necklace,"jewelry, necklace",
L_necklace_3,necklace,necklace,
L_necklace_4,necklace,necklace,
L_need,need,"have to, must, necessary, need, need to, should",
L_needle,needle,"draw, draw blood, drug, drugs, inject, injection, needle, shot, vaccinated",
L_negative,negative,"angry, minus, negation, negative, pessimistic",
L_nephew,nephew,nephew,
L_nerve,nerve,"nerve, nerves, the nerve",
L_net,net,net,
L_network,network,"computer, internet, network, wifi, world wide web",
L_neutral,neutral,"neutral, impartial, nonpartisan, neutrality, neutralized",
L_never,never,"ever, never",
L_new,new,"brand new, new, fresh",
L_new_york,new_york,"New York, place name, state",
L_news_to_me,news_to_me,news_to_me,
L_newspaper,newspaper,"journal, magazine, newspaper, printer, publication",
L_next,next,"following, next, upcoming",
L_next_down,next_down,next_down,
L_next_to,next_to,"adjacent, besides, by, close, near, next, next to, proximate, side, neighbor",
L_next_year,next_year,"later, next year, year",
L_nice,nice,"kind, nice, sweet, clean",
L_niece,niece,"family, girl, kinship, niece, relative",
L_night,night,"night, evening",
L_nine,nine,"9, nine, number",
L_no,no,"don't, don't do that, negative, no, no-no",
L_no_big_deal,no_big_deal,"insignificant, no big deal, nothing, not a problem, oh it's all right, trivial",
L_noise,noise,"ear vibrations, noise, sound",
L_none,none,"nil, no one, none, not a thing, not at all, not one, nothing, zero, zilch, NONEpa",
L_nonsense,nonsense,nonsense,
L_noon_1,noon,noon,
L_noon_2,noon,noon,
L_noose,noose,noose,
L_normal,normal,"national, native, natural, naturally, nature, normal, normally, of course",
L_north,north,"direction, north",
L_nose,nose,"body part, nose",
L_nose_bleed,nose_bleed,"bloody nose, have a cold, runny nose, runny-nose",
L_not,not,"don't, not, won't",
L_not_a_thing,not_a_thing,"all out, depleted, empty, nil, not a thing, nothing, zero, zilch",
L_not_care,not_care,"do not mind, don't care, not care",
L_not_interested,not_interested,not_interested,
L_not_mind,not_mind,"do you mind?, don't care, don't mind",
L_not_understand,not_understand,not_understand,
L_not_used_to,not_used_to,not_used_to,
L_not_yet,not_yet,"haven't, not yet",
L_nothing,nothing,"none, nothing, nothing at all, nobody",
L_nothing_2,nothing,nothing,
L_nothing_at_all,nothing_at_all,"none, nothing, nothing at all",
L_now,now,"current, now, present, today",
L_numbers,numbers,number,
L_nurse,nurse,nurse,
L_nut,nut,"almond, cashew, nut, nuts, peanut",
L_nut_2,nut,nut,
L_obsess,obsess,"dwell on, obsess, obsessed",
L_obvious,obvious,"bright, clarify, clear, light, obvious, obviously",
L_ocean,ocean,"ocean, sea, water",
L_octopus,octopus,"animal, fish, ocean, octopus, squid, water",
L_off,off,off,
L_off_the_point,off_the_point,"change the point, change the topic, not on topic, not relevant, off point, off the point, off topic, random",
L_offend,offend,"insult, offend, offense",
L_offhand,offhand,offhand,
L_office,office,"office, organize",
L_often,often,"again and again, frequent, often, repeatedly",
L_oh_I_see,oh_I_see,oh_I_see,
L_oil_1,oil,"gas, oil, oil up, petrol",
L_oil_2,oil,"grease, greasy, oil, oily",
L_oil_3,oil,"gas, oil, oil up, petrol",
L_ok,ok,ok,
L_old,old,"ancient, age, old",
L_oldest,oldest,"elder, old, older, oldest",
L_on,on,"on, on top of, onto",
L_once,once,"at one time, frequency, once, one time",
L_one,one,"1, number, one",
L_one_more_1,one_more,"another, one more",
L_one_more_2,one_more,"another one, just one more, one more, one more time",variation typically used by Deaf native signers
L_one_year_ago,one_year_ago,"a year ago, before, last year, one year ago, past year, previously, this year past, time",
L_onion,onion,"food, onion",
L_only_one_2,only_one,"alone, by oneself, lonely, only one",there's no video?
L_ooh,ooh,"intensity, intensive, oh, ooh, recognizing intensity, ridiculous, yikes, wow",
L_oops,oops,"ah, gesture, interjection, oh no, oops, uh oh, whoops, wow",
L_open,open,"open, unlock",
L_open_book,open_book,"open, open-book, open the book, open book, book",
L_open_wallet,open_wallet,open_wallet,
L_operate_machine,operate_machine,"facilitate, operate, run",
L_opinion_1,opinion,"opinion, opinionated, perspective, point of view, position, view, viewpoint",
L_opinion_2,opinion,"opinion, opinionated, perspective, point of view, position, stance, view, viewpoint",
L_opportunity,opportunity,"chance, opportunity, option, possibility",
L_option,option,"choice, choose, option, optional, pick, select, selection",
L_or,or,"and then, either, or, then",
L_oral,oral,"lipread, mouth, oral, oralism, pronounce, pronunciation, speech, talk",
L_orange,orange,"color, fruit, orange",
L_orange_eyes,orange_eyes,orange_eyes,
L_orange_throat,orange_throat,orange_throat,
L_order_1,order,"order, planned, progression, sequence, series, succession, to put in order",
L_order_2,order,"command, imperative, order, react, reaction, reply, report, respond",
L_organization,organization,"association, group, initialized, organization, organize",
L_ostrich,ostrich,ostrich,
L_other,other,"another, else, other, otherwise",
L_our,our,"our, plural, possessive",
L_out,out,"out, out of",
L_outside,outside,"exterior, external, out, outdoors, outside",
L_over,over,"across, after, come over, go over, next, over",
L_overlook,overlook,"ignore, missed, not notice, overlook",
L_overnight,overnight,"all night, evening, late night, night, overnight, throughout the night, time",
L_overtake,overtake,"cream, destroy, overcome, overtake, take over, wipe out",
L_overwhelmed,overwhelmed,"daunted, overwhelm, overwhelmed",
L_owe,owe,"debt, due, owe",
L_owl,owl,"animal, owl",
L_own,own,"accept, own, possess, take",
L_pack,pack,"arrange, bag, fill, fill in, luggage, moving, organize, pack, packing, put in, put together, stuff",
L_page,page,page,
L_pageant,pageant,"banner, contest, pageant, princess",
L_pain,pain,"ache, hurt, injure, injury, pain",
L_paint,paint,"paint, paint the wall, painting, PAINTb",
L_paintbrush,paintbrush,"paint, paintbrush",
L_pair,pair,"both, couple, deuce, duo, pair, two",
L_pancake,pancake,pancake,
L_pants,pants,"corduroys, jeans, khakis, pants",
L_pants_2,pants,"corduroys, jeans, khakis, pants",
L_paper,paper,paper,
L_papercutter,papercutter,"to cut paper, papercutter",
L_parachute,parachute,parachute,
L_parachute_2,parachute,parachute,
L_parachute_3,parachute,parachute,
L_parade,parade,"march, parade, procession",
L_paragraph,paragraph,paragraph,
L_parallel,parallel,"align, alignment, along with, in the meantime, parallel, same thing",
L_paranoid,paranoid,"freak out, panic, paranoia, paranoid",
L_parents,parents,parents,
L_park,park,"park, parking, park the car, vehicle",no signs for park as a large area of recreational land reserved for public use
L_party_1,party,"celebration, party",
L_party_2,party,"celebration, goof off, party, play, play around",
L_pass,pass,"complete, finish, pass, passing, to pass",
L_pass_out,pass_out,pass_out,
L_passport,passport,"ID, passport, travel",
L_past,past,"ago, before, former, in the past, last, last time, past, previous, prior, used to",
L_patient_1,patient,"hospital patient, patient, sick",
L_patient_2,patient,"endure, patience, patient, resolved, suffer, tolerant, tolerate",
L_patient_3,patient,"endure, patience, patient, resolved, suffer, tolerant, tolerate",same as patient_2
L_pay,pay,"bill, check, paid, pay, payment, PAYix",
L_pay_off_bills,pay_off_bills,"paid off, pay off, pay off bills",
L_peace,peace,"calm, nonviolent, peace, peaceful",
L_peach,peach,"fruit, peach",
L_peach_2,peach,peach,
L_peacock,peacock,peacock,
L_peanut_butter,peanut_butter,peanut butter,
L_pear,pear,"fruit, pear",
L_peas_1,peas,peas,
L_peas_2,peas,peas,
L_peck,peck,peck,
L_peekaboo,peekaboo,"can't see, don't want to see, hide, peek-a-boo, peek a boo, play peek-a-boo",
L_peel_1,peel,peel,
L_peel_2,peel,peel,
L_peel_3,peel,peel,
L_peg,peg,"clothes pin, peg",
L_peg_2,peg,peg,
L_peg_3,peg,"clothes pin, peg",
L_pen,pen,pen,
L_pencil,pencil,pencil,
L_penguin,penguin,"animal, penguin, waddle",
L_penny,penny,"cent, cents, coin, coins, money, one cent, penny",
